id,food,image,instructions,food_type,Calories,FatContent,ProteinContent,glutenFree,dairyFree,sourceUrl,ingredients,food_cluster
935,Stuffed Dry-braised Okra,https://img.spoonacular.com/recipes/545-556x370.jpg,"Sure, I'd be happy to help you generate a recipe based on the ingredients and information provided! Here is a recipe for Stuffed Dry-braised Okra with Anchovies:

Ingredients:

* 16 anchovy fillets
* 1 pound okra pods
* 2 tablespoons canola oil
* Sea salt, to taste
* Paprika, to taste

Instructions:

1. Preheat your oven to 375°F (190°C).
2. Rinse the okra pods and pat them dry.
3. Slice a lengthwise strip into each okra pod, being careful not to cut all the way through.
4. Place an anchovy fillet inside each slit in the okra pods.
5. Heat the canola oil in a large oven-safe skillet over medium-high heat.
6. Add the okra pods to the skillet, stuffed-side down, and cook for 2-3 minutes, or until they are lightly browned.
7. Season the okra pods with sea salt and paprika, to taste.
8. Transfer the skillet to the preheated oven and bake for 10-12 minutes, or until the okra pods are tender.
9. Serve hot and enjoy your Stuffed Dry-braised Okra with Anchovies!

Note: You can adjust the number of anchovies and the amount of seasonings to your liking. This recipe serves 4 people as a side dish.",Non-Veg,956.2,38.7,28.7,True,True,http://www.sfgate.com/food/recipes/detail.html?rid=18781&sorig=qs,"['to', '8', 'anchovy', 'to', '8', 'anchovy', 'canola', 'oil', 'okra', 'pods', 'sea', 'salt', 'paprika', 'paprika']",3
936,Corned Beef In Broth With Salsa Verde,https://img.spoonacular.com/recipes/550-556x370.jpg,"Sure, here is the recipe for Corned Beef in Broth with Salsa Verde using the provided ingredients:

Recipe for Corned Beef in Broth with Salsa Verde:

Ingredients:
- 2 cans of corned beef (quantity corned beef)
- 2 anchovy fillets
- 2 tablespoons capers
- 1 bunch flat-leaf parsley leaves
- 2 cloves garlic
- 1/4 cup mint leaves
- 1/2 cup olive oil

Instructions:

1. Drain the corned beef and set aside.
2. In a food processor, combine the anchovies, capers, parsley leaves, garlic, and mint leaves. Pulse until finely chopped.
3. With the machine running, slowly add the olive oil in a thin stream until a thick sauce forms. Season to taste with salt and pepper.
4. In a large pot, bring 6 cups of water to a boil. Add the corned beef and reduce heat to low. Simmer for 5 minutes or until heated through.
5. To serve, ladle the corned beef and broth into bowls. Spoon some of the salsa verde over the top of each serving.

Enjoy your Corned Beef in Broth with Salsa Verde!",Non-Veg,57.9,4.2,1.1,True,True,http://www.donnahay.com.au/recipes/mains/meat/corned-beef-in-broth-with-salsa-verde,"['anchovies', 'anchovies', 'capers', 'quantity', 'corned', 'beef', 'flat', 'leaf', 'parsley', 'leaves', 'garlic', 'mint', 'leaves', 'olive', 'oil']",3
937,Potato And Shrimp Salad With Green Goddess Dressing,https://img.spoonacular.com/recipes/552-556x370.jpg,"Sure, here is the recipe for Potato and Shrimp Salad with Green Goddess Dressing utilizing the provided ingredients:

Potato and Shrimp Salad with Green Goddess Dressing Recipe

Ingredients:

* 1 lb fingerling potatoes, halved
* 1 lb shell-on shrimp
* 1/4 cup water
* 1/4 cup tarragon vinegar
* 1/2 cup mayonnaise
* 1/2 cup chopped parsley
* 1/4 cup chopped chives
* 1/4 cup chopped green onions
* 2 anchovy fillets, minced
* 1 tablespoon tarragon, minced
* Salt to taste
* 1/4 cup grape tomatoes, halved
* Trimmings from the dressing (presumably herb stems, etc.)

Instructions:

1. Begin by preparing the fingerling potatoes. Place the halved potatoes in a large pot and cover with cold water. Bring the water to a boil and cook the potatoes until they are just tender, about 10-12 minutes. Drain the potatoes and set aside.
2. While the potatoes are cooking, prepare the shrimp. Peel and devein the shrimp, leaving them whole. Set aside.
3. In a small saucepan, combine the water and tarragon vinegar and bring to a simmer. Add the shrimp and poach for 2-3 minutes, or until they are cooked through. Remove the shrimp from the poaching liquid and chill in the refrigerator.
4. To make the Green Goddess dressing, combine the mayonnaise, parsley, chives, green onions, anchovy fillets, tarragon, and salt in a blender or food processor. Blend until smooth. Taste and adjust seasoning as needed.
5. To assemble the salad, combine the cooked and cooled potatoes, poached shrimp, and halved grape tomatoes in a large bowl. Add the Green Goddess dressing and toss to coat. Serve the salad cold, garnished with additional herbs if desired.

Enjoy your Potato and Shrimp Salad with Green Goddess Dressing!",Non-Veg,53.2,3.9,1.1,True,True,"http://www.latimes.com/features/food/la-fo-poached-shrimp-s,0,1486925.story","['anchovy', 'anchovy', 'chives', 'fingerling', 'potatoes', 'grape', 'tomatoes', 'green', 'onions', 'mayonnaise', 'parsley', 'salt', 'shell', 'on', 'shrimp', 'trimmings', 'from', 'the', 'dressing', 'tarragon', 'tarragon', 'vinegar', 'water', 'white', 'wine']",1
938,Chicken Liver Bruschetta,https://img.spoonacular.com/recipes/553-556x370.jpg,"Sure, I'd be happy to help you generate a recipe using the provided ingredients! Here's a recipe for Chicken Liver Bruschetta using those ingredients:

Chicken Liver Bruschetta Recipe
------------------------------

### Ingredients

* 1 baguette
* 2 tbsp olive oil
* 1 onion, chopped
* 2 cloves garlic, minced
* 1 lb chicken livers, trimmed and chopped
* 1/4 cup chicken broth
* 1/4 cup vermouth
* 1/4 cup capers, drained
* 2 tbsp balsamic vinegar
* 1 can anchovies, drained and chopped (optional)
* Salt and pepper, to taste
* Pn pepper flakes (optional)
* Chopped parsley, for garnish

### Directions

1. Preheat the oven to 375°F (190°C).

2. Slice the baguette into 1-inch thick slices. Brush both sides with olive oil and place on a baking sheet. Toast in the oven for 10-15 minutes or until golden brown and crispy. Set aside.

3. Heat the remaining olive oil in a large skillet over medium heat. Add the onion and cook until softened and translucent, about 5 minutes.

4. Add the garlic and cook for 1 minute, stirring constantly.

5. Increase the heat to medium-high and add the chicken livers. Cook for 3-4 minutes or until browned on the outside but still slightly pink in the center.

6. Add the chicken broth, vermouth, capers, and balsamic vinegar. Bring to a boil and cook for 2-3 minutes or until the liquid has reduced by half.

7. Stir in the chopped anchovies (if using) and season with salt, pepper, and pepper flakes (if using).

8. To serve, spoon the chicken liver mixture onto the toasted baguette slices. Garnish with chopped parsley.

Enjoy your Chicken Liver Bruschetta!",Non-Veg,537.1,23.0,44.2,False,True,http://www.sippitysup.com/chickenliverrecipe,"['cn', 'anchovies', 'cn', 'anchovies', 'baguette', 'balsamic', 'vinegar', 'capers', 'chicken', 'livers', 'olive', 'oil', 'bn', 'parsley', 'onion', 'pn', 'pepper', 'flakes', 'salt', 'and', 'pepper', 'vermouth', 'vermouth']",3
939,Lamb Chops With Olive Orange Anchovy Sauce Recipe,https://img.spoonacular.com/recipes/555-556x370.jpg,"Here is the recipe for Lamb Chops with Olive, Orange, and Anchovy Sauce:

Ingredients:

* 4 loin lamb chops
* 2 anchovy fillets
* 1/2 head of cauliflower
* 1/4 cup pitted Kalamata olives
* 1/4 cup flat parsley
* 3 cloves garlic
* 1 lemon
* 1 orange
* 1 sprig of rosemary
* Olive oil
* Sea salt and pepper

Instructions:

1. Preheat the oven to 400°F (200°C).
2. Trim the cauliflower and cut into florets. Toss with olive oil, salt, and pepper. Spread evenly on a baking sheet and roast for 20-25 minutes, or until golden brown and crispy.
3. While the cauliflower is roasting, make the sauce. Finely chop the anchovy fillets and add to a cold saucepan. Turn the heat to medium and cook, stirring occasionally, until the anchovies have melted into the oil.
4. Add 2 cloves of chopped garlic and cook for 1 minute, or until fragrant.
5. Add 1/2 cup of orange juice, 1/4 cup of lemon juice, and 1 tablespoon of orange zest to the pan. Bring to a simmer and cook for 5-7 minutes, or until the sauce has thickened slightly.
6. Season the lamb chops with salt and pepper. Add 1 tablespoon of olive oil to a hot skillet and sear the lamb chops for 3-4 minutes on each side, or until browned.
7. Remove the lamb chops from the skillet and let them rest for a few minutes.
8. To serve, place a dollop of the roasted cauliflower on a plate. Top with a lamb chop and drizzle with the orange anchovy sauce.
9. Garnish with chopped flat parsley, lemon zest, and remaining chopped garlic.
10. Enjoy!",Non-Veg,0.0,0.0,0.0,True,True,http://www.kitchendaily.com/recipe/lamb-chops-with-olive-orange-anchovy-sauce-143179,"['anchovy', 'anchovy', 'pepper', 'cauliflower', 'flat', 'parsley', 'garlic', 'kalamata', 'loin', 'lamb', 'chops', 'lemon', 'juice', 'lemon', 'zest', 'olive', 'oil', 'orange', 'juice', 'orange', 'zest', 'rosemary', 'sea', 'salt', 'and', 'pepper']",0
940,Baked Eggs With Anchovy Soldiers,https://img.spoonacular.com/recipes/557-556x370.jpg,"Sure, I'd be happy to help you generate a recipe using the provided ingredients for Baked Eggs with Anchovy Soldiers! Here's a list of steps you can follow:

Ingredients:

* 4 eggs
* 1 can of anchovy fillets in olive oil (you will only need about 8 anchovy fillets)
* 2 tablespoons of butter
* Salt and pepper to taste
* 4 slices of bread
* 4 tablespoons of single cream

Steps:

1. Preheat your oven to 375°F (190°C).
2. Grease four ramekins with butter.
3. Crack an egg into each ramekin.
4. Season each egg with salt and pepper.
5. Place the ramekins on a baking sheet and bake for 12-15 minutes, or until the egg whites are set but the yolks are still runny.
6. While the eggs are baking, make the anchovy soldiers.
7. Toast the bread slices until they are golden brown.
8. Spread a thin layer of butter on one side of each toast slice.
9. Place two anchovy fillets on the buttered side of each toast slice.
10. Drizzle a little bit of the anchovy oil over the anchovies.
11. Remove the ramekins from the oven and let them cool for a few minutes.
12. Carefully remove the eggs from the ramekins and place them on a plate.
13. Drizzle one tablespoon of single cream over each egg.
14. Serve the baked eggs with the anchovy soldiers on the side.

Enjoy your Baked Eggs with Anchovy Soldiers!",Veg,117.9,7.5,4.9,True,False,http://helengraves.co.uk/2009/12/comfort-snack-baked-egg-with-anchovy-soldiers/,"['butter', 'egg', 'salt', 'and', 'pepper', 'single', 'cream']",0
941,Pissaladière,https://img.spoonacular.com/recipes/558-556x370.jpg,"Sure, I'd be happy to help you generate a recipe for a Pissaladière using the given ingredients. Here is a list of steps you can follow to make this dish:

Ingredients:

* 3 anchovy fillets
* 2 cans of canned tomatoes
* 3 garlic cloves
* 2 tablespoons of oil
* 1/2 cup of olives & sliced bell pepper
* 1 pie crust
* 2 sprigs of rosemary
* Salt, to taste
* 2 sprigs of thyme
* 2 large tomatoes

Instructions:

1. Preheat your oven to 375°F (190°C).
2. Finely chop the garlic cloves and slice the bell pepper.
3. Heat the oil in a pan over medium heat. Add the chopped garlic and sliced bell pepper. Cook until the pepper is soft.
4. Add the canned tomatoes, olives, and sliced large tomatoes to the pan. Stir in the chopped rosemary and thyme leaves. Cook until the mixture thickens to a spreadable consistency. Season with salt to taste.
5. Roll out the pie crust on a floured surface. Spread the tomato and vegetable mixture evenly over the crust, leaving a 1-inch border around the edges.
6. Arrange the anchovy fillets on top of the tomato mixture.
7. Fold the edges of the dough over the filling to create a border.
8. Bake the pissaladière in the preheated oven for 25-30 minutes, or until the crust is golden brown.
9. Remove the pissaladière from the oven and let it cool for a few minutes before slicing and serving.

Enjoy your homemade Pissaladière!",Non-Veg,558.0,34.4,25.4,False,False,http://www.kayotic.nl/blog/pissaladiere,"['anchovy', 'anchovy', 'canned', 'tomatoes', 'garlic', 'cloves', 'oil', 'olives', 'bell', 'pepper', 'bell', 'pepper', 'pie', 'rosemary', 'salt', 'thyme', 'big', 'tomatoes']",3
942,Chicken Cacciatora With Pan Roasted Potatoes,https://img.spoonacular.com/recipes/560-556x370.jpg,"Here's the recipe for Chicken Cacciatora with Pan Roasted Potatoes using the provided ingredients:

Recipe: Chicken Cacciatora with Pan Roasted Potatoes

Ingredients:

* 8 pieces of chicken (combination of breasts, thighs, and/or legs)
* Salt, to taste
* 2-3 anchovy fillets, minced
* 3 cloves of garlic, thinly sliced
* 3 cloves of garlic ""in camicia"" (in their skins)
* 3 bay leaves
* 3 sprigs of rosemary
* 6 sage leaves
* 1 cup Greek olives (preferably pitted)
* 1 cup red wine
* 1/4 cup olive oil, plus more for potatoes
* 3-4 medium-sized potatoes, cut into 1 1/2 inch pieces
* 1 can (14 oz) pelati (Italian whole peeled tomatoes)

Instructions:

1. Preheat the oven to 425°F (220°C).

2. Pat dry the chicken pieces, then season them with salt.

3. In a large, heavy-bottomed Dutch oven or deep pan, heat 1/4 cup of olive oil over medium-high heat. Sear the chicken pieces, skin-side down, for about 4-5 minutes, or until golden brown. Do this in batches, if necessary, and set the chicken aside.

4. In the same pan, add a bit more oil if needed, and sauté the minced anchovies and sliced garlic for 1-2 minutes or until fragrant.

5. Add the pelati (whole peeled tomatoes) and crush them gently with a wooden spoon. Cook for 5 minutes, occasionally stirring. Add red wine, bay leaves, rosemary sprigs, and sage. Stir and let the sauce simmer for a few minutes to combine the flavors.

6. Lower the heat, add the seared chicken pieces back in and spoon the sauce over them. Cover, and let it cook for 15-20 minutes over medium-low heat.

7. While the chicken is simmering, prepare the pan-roasted potatoes. Toss the potatoes with olive oil, salt, and pepper. Arrange them evenly on a baking sheet and bake for about 20 minutes, or until golden brown and crispy.

8. After the chicken stews for 15-20 minutes, add the whole Greek olives, stir, and recover to let it simmer for another 5-10 minutes or until the chicken is tender and cooked through. Taste and adjust seasoning if necessary.

9. Serve the Chicken Cacciatora with Pan Roasted Potatoes spooned over or on the side. Enjoy!",Non-Veg,1068.7,46.3,68.7,True,True,http://underthetuscangun.com/food/meat/41-chicken-cacciatora/,"['anchovies', 'anchovies', 'bay', 'leaves', 'sage', 'garlic', 'in', 'camicia', 'garlic', 'greek', 'olives', 'olive', 'oil', 'olive', 'oil', 'potatoes', 'red', 'wine', 'rosemary', 'rosemary', 'sprigs', 'salt', 'chicken', 'pelati', 'pelati']",0
943,Kale & Lentils,https://img.spoonacular.com/recipes/570-556x370.jpg,"Here is the recipe for Kale and Lentils with the given ingredients and some additional items that are typically used in this recipe:

Recipe: Kale and Lentils with Anchovies and Wine

Ingredients:

* 2 bunches curly kale, ribs removed and leaves chopped
* 3 tablespoons olive oil
* 3 cloves garlic, minced
* 3 anchovy fillets, minced
* 1 bay leaf
* 1/2 teaspoon crushed red pepper flakes
* 1 cup green lentils
* 1 onion, finely chopped
* 1 cup vegetable broth
* 1/2 cup white wine
* 2 teaspoons Dijon mustard
* 2 teaspoons kosher salt
* 1/4 teaspoon ground black pepper
* A few sprigs of thyme

Instructions:

1. Rinse the lentils and pick out any stones or debris. Set aside.
2. In a large saucepan or Dutch oven, heat the olive oil over medium heat.
3. Add the anchovies, garlic, and onion to the pot. Cook, stirring often, until the onion is translucent and the anchovies have dissolved.
4. Add the crushed red pepper flakes and bay leaf, and cook for 1 minute.
5. Add the chopped kale and cook, stirring occasionally, until the kale has wilted.
6. Add the lentils, vegetable broth, wine, Dijon mustard, salt, and pepper to the pot. Stir to combine.
7. Bring the mixture to a boil, then reduce the heat to low, cover, and simmer for 25-30 minutes, or until the lentils are cooked through.
8. Taste and adjust the seasoning, if necessary.
9. Remove the bay leaf and thyme sprigs before serving.

Enjoy your Kale and Lentils with Anchovies and Wine!",Non-Veg,659.9,30.8,32.4,True,True,http://www.sfgate.com/food/recipes/detail.html?rid=15240&sorig=qs,"['anchovy', 'anchovy', 'bay', 'leaf', 'pepper', 'dijon', 'mustard', 'green', 'lentils', 'wine', 'garlic', 'curly', 'kale', 'kosher', 'salt', 'and', 'ground', 'pepper', 'olive', 'oil', 'thyme', 'sprigs', 'vegetable', 'broth', 'onion']",3
944,Muffuletta,https://img.spoonacular.com/recipes/571-556x370.jpg,"Sure, I'd be happy to help you generate a recipe for a Muffuletta using the provided ingredients! Here's a list of steps you can follow:

Muffuletta Recipe:

Ingredients:

* 1 baguette
* 2 tablespoons extra virgin olive oil
* 2 cloves garlic, minced
* 1/4 cup chopped parsley
* 1/4 cup chopped oregano
* 1/4 cup lemon juice
* 1/2 cup pimiento-stuffed olives, sliced
* 1/2 cup pimiento peppers, chopped
* 1/2 cup bell pepper, chopped
* 1/2 cup ham, sliced
* 1/2 cup mortadella, sliced
* 1/2 cup sopprasetta, sliced
* 1/2 cup provolone, sliced
* 1/4 cup horseradish (optional)

Steps:

1. Preheat your oven to 350°F (175°C).
2. Cut the baguette in half lengthwise.
3. In a small bowl, mix together the extra virgin olive oil, minced garlic, chopped parsley, chopped oregano, lemon juice, and sliced pimiento-stuffed olives.
4. Spread the olive oil mixture evenly onto both halves of the baguette.
5. Layer the chopped pimiento peppers, chopped bell pepper, sliced ham, sliced mortadella, sliced soppressata, and sliced provolone on the bottom half of the baguette.
6. If using, spread the horseradish on the top half of the baguette.
7. Place the muffuletta in the preheated oven and bake for 10-15 minutes, or until the cheese is melted and the bread is crispy.
8. Remove the muffuletta from the oven and let it cool for a few minutes.
9. Slice the muffuletta into individual servings and enjoy!

Note: Feel free to adjust the quantities of the ingredients according to your taste.",Non-Veg,107.4,5.1,1.3,False,False,http://www.wholefoodsmarket.com/recipes/1656,"['olives', 'bell', 'pepper', 'baguette', 'extra', 'virgin', 'olive', 'oil', 'garlic', 'ham', 'horseradish', 'lemon', 'juice', 'mortadella', 'oregano', 'parsley', 'pimiento', 'peppers', 'pimiento', 'stuffed', 'olives', 'provolone', 'sopprasetta', 'sopprasetta']",3
945,Mozzarella En Carozza,https://img.spoonacular.com/recipes/572-556x370.jpg,"Sure, I'd be happy to help you generate a recipe for a Mozzarella en Carozza using the provided ingredients! Here's a simple recipe you can follow:

Ingredients:

* Semolina bread
* Butter
* Anchovies
* Capers
* Extra virgin olive oil
* Flat leaf parsley
* Mozzarella
* Juice of lemon

Instructions:

1. Start by slicing the semolina bread into slices of about 1/2 inch in thickness.
2. Take one slice of bread and spread a thin layer of butter on one side.
3. Place a few anchovies on top of the buttered side of the bread.
4. Sprinkle some capers on top of the anchovies.
5. Add a slice of mozzarella on top of the capers.
6. Squeeze a little bit of lemon juice over the mozzarella.
7. Take another slice of bread and place it on top of the mozzarella, buttered side facing outwards.
8. Heat up a pan over medium heat and add some extra virgin olive oil.
9. Carefully place the sandwich in the pan and cook on each side until the bread is golden brown and the cheese has melted.
10. Once the sandwich is done, remove it from the pan and let it cool for a few minutes.
11. Slice the sandwich in half and garnish with flat leaf parsley.

There you have it, a delicious Mozzarella en Carozza sandwich! Enjoy your meal.",Non-Veg,261.4,2.2,8.3,False,False,http://spectacularlydelicious.com/2010/01/17/recipe-mozzarella-en-carozza/,"['semolina', 'bread', 'butter', 'anchovies', 'capers', 'extra', 'virgin', 'olive', 'oil', 'flat', 'leaf', 'parsley', 'mozzarella', 'juice', 'of', 'lemon']",3
946,Fried Stuffed Zucchini Flowers (fiori Di Zucca Fritti),https://img.spoonacular.com/recipes/576-556x370.jpg,"Sure, I'd be happy to help you generate a recipe for Fried Stuffed Zucchini Flowers using the given ingredients! Here is a list of steps to make this delicious dish:

Ingredients:

* 6 squash blossoms
* 2 anchovy fillets, minced
* 2 eggs
* 1/4 cup flour
* 1/4 cup mozzarella cheese, grated
* Salt, to taste
* 1/2 cup sparkling mineral water
* Vegetable oil, for frying

Instructions:

1. Gently rinse the squash blossoms and pat them dry with paper towels. Carefully remove the stamens from the inside of each blossom.
2. In a small bowl, mix together the minced anchovy fillets and grated mozzarella cheese.
3. In a separate shallow bowl, whisk together the eggs, flour, and a pinch of salt. Gradually add the sparkling mineral water, whisking gently until the batter is smooth and has the consistency of heavy cream.
4. Stuff each squash blossom with a small amount of the anchovy and cheese mixture.
5. Heat about 2 inches of vegetable oil in a heavy-bottomed pot or Dutch oven over medium heat until it reaches 350°F.
6. Working in batches, dip each stuffed blossom into the batter, allowing any excess batter to drip off. Carefully place the battered blossoms into the hot oil.
7. Fry the blossoms, turning occasionally, for 3-4 minutes or until they are golden brown and crispy.
8. Using a slotted spoon, remove the fried blossoms from the oil and place them on a paper towel-lined plate to drain any excess oil.
9. Sprinkle the fried blossoms with salt to taste.
10. Serve the fried stuffed zucchini flowers hot and enjoy!

Note: Make sure to maintain the oil temperature between 350°F and 375°F while frying to ensure even cooking and crispy texture.",Non-Veg,53.5,0.2,1.2,False,False,http://www.williams-sonoma.com/recipe/fried-stuffed-zucchini-flowers-fiori-di-zucca-fritti.html,"['anchovy', 'anchovy', 'eggs', 'flour', 'mozzarella', 'cheese', 'salt', 'sparkling', 'mineral', 'water', 'squash', 'blossoms', 'squash', 'blossoms', 'vegetable', 'oil']",3
947,Asparagus With Anchovies & Garlic,https://img.spoonacular.com/recipes/577-556x370.jpg,"Sure, I'd be happy to help you generate a recipe for Asparagus with Anchovies and Garlic using the provided ingredients! Here's a simple recipe that you can follow:

Recipe for Asparagus with Anchovies and Garlic:

Ingredients:
- 1 pound asparagus, trimmed
- 2 anchovy fillets or 1 teaspoon anchovy paste
- 2 cloves garlic, minced
- 1 tablespoon olive oil
- Salt and pepper to taste
- 2 tablespoons water

Instructions:

1. Heat the olive oil in a large skillet over medium heat.
2. Add the anchovies (or anchovy paste) to the skillet and cook for 1-2 minutes, breaking them up with a spoon as they cook.
3. Add the minced garlic to the skillet and cook for an additional 30 seconds, until fragrant.
4. Add the trimmed asparagus to the skillet, along with salt and pepper to taste. Toss the asparagus in the oil, anchovies, and garlic until it is fully coated.
5. Add the water to the skillet, then cover it with a lid. Let the asparagus cook for 5-7 minutes, or until it is tender but still crisp.
6. Taste and adjust the seasoning as needed. Serve the asparagus hot, with the anchovy and garlic oil drizzled on top.

Enjoy your Asparagus with Anchovies and Garlic!",Non-Veg,172.4,4.5,2.2,True,True,http://www.eatingwell.com/recipes/asparagus_with_anchovies_garlic.html,"['anchovy', 'paste', 'anchovy', 'paste', 'asparagus', 'pepper', 'garlic', 'olive', 'oil', 'water']",0
948,Steak With Piquant Italian Salsa Verde,https://img.spoonacular.com/recipes/600-556x370.jpg,"Sure, I'd be happy to help you generate a recipe using the provided ingredients! Here's a recipe for Steak with Piquant Italian Salsa Verde:

Ingredients:
------------------

* 2 sirloin steaks
* Sea salt and pepper, to taste
* 1/4 cup extra virgin olive oil
* 1/4 cup fresh flat-leaf parsley leaves
* 1/4 cup fresh basil leaves
* 2 anchovy fillets
* 1 tablespoon capers
* 1 clove garlic
* 1 tablespoon lime juice
* 1 cup baby field greens
* Additional sea salt and pepper, to taste

Instructions:
------------------

1. Preheat a grill or skillet over high heat. Season the steaks with sea salt and pepper on both sides. Cook the steaks for 3-4 minutes per side for medium-rare, or until they reach your desired level of doneness. Remove the steaks from the heat and let them rest for at least 5 minutes.

2. While the steaks are cooking, make the salsa verde. In a food processor, combine the olive oil, parsley, basil, anchovy fillets, capers, garlic, and lime juice. Process until the mixture is finely chopped and well combined. Season the salsa verde with salt and pepper to taste.

3. To serve, slice the steaks thinly against the grain. Arrange the baby field greens on a platter and top with the sliced steak. Spoon the salsa verde over the top of the steak and greens.

4. Serve immediately and enjoy!

Note: If you'd like, you can adjust the amount of anchovy fillets or capers to your taste. You can also add more fresh herbs if you prefer.",Non-Veg,516.6,18.4,32.7,True,True,http://www.wholefoodsmarket.com/recipes/985,"['anchovy', 'anchovy', 'baby', 'field', 'greens', 'basil', 'leaves', 'basil', 'leaves', 'capers', 'extra', 'virgin', 'olive', 'oil', 'flat', 'leaf', 'parsley', 'leaves', 'garlic', 'lime', 'juice', 'pepper', 'sea', 'salt', 'sirloin', 'steak']",0
949,Steak Winegrower's Style (entrecôte Vigneronne),https://img.spoonacular.com/recipes/601-556x370.jpg,"Sure, I'd be happy to help you generate a recipe for Steak Winegrower's Style (Entrecôte Vigneronne) using the provided ingredients: anchovies, butter, onion, red wine, salt, and shallots. Here is a recipe with 7 steps:

Recipe: Steak Winegrower's Style (Entrecôte Vigneronne) with Anchovies

Ingredients:

* 2 steaks, such as ribeye or New York strip
* Salt and pepper to taste
* 2 tablespoons of butter
* 1 onion, thinly sliced
* 2 cloves garlic, minced
* 4 anchovy fillets, minced
* 2 shallots, thinly sliced
* 1 cup red wine
* Salt and freshly ground black pepper

Instructions:

1. Preheat a large skillet or cast-iron pan over high heat. Season the steaks with salt and pepper on both sides.
2. Add the butter to the pan and let it melt. Once the butter is foaming, add the steaks and cook for 2-3 minutes per side for medium-rare. Transfer the steaks to a plate and let them rest.
3. In the same pan, add the onion, garlic, anchovies, and shallots. Cook over medium heat for 5-7 minutes, or until the onion is softened and lightly caramelized.
4. Pour in the red wine and increase the heat to high. Bring the wine to a boil and let it reduce by half, about 5-7 minutes.
5. Season the sauce with salt and pepper to taste.
6. Slice the steaks thinly against the grain and serve them with the red wine and onion sauce drizzled on top.
7. Garnish with fresh herbs if desired.

Enjoy your Steak Winegrower's Style (Entrecôte Vigneronne) with anchovies!",Non-Veg,817.9,36.1,12.6,True,False,"http://www.latimes.com/features/food/la-fo-watchrec2aug01,0,484197.story","['anchovy', 'anchovy', 'butter', 'onion', 'red', 'wine', 'salt', 'shallots']",3
950,Sea Bass Puttanesca In A Foil Pouch,https://img.spoonacular.com/recipes/602-556x370.jpg,"Sure, I'd be happy to help you generate a recipe for Sea Bass Puttanesca in a Foil Pouch using the provided ingredients! Here's a list of steps:

Sea Bass Puttanesca in a Foil Pouch Recipe

Ingredients:

* 4 sea bass fillets
* 8 flat anchovies
* 1 crusty bread
* 2 tbsp capers
* 1 cup cherry tomatoes
* 1 pepper
* 1 bunch flat leaf parsley
* 3 cloves garlic
* 1 lemon
* 1 handful olives (mixed or Kalamata)
* Salt and pepper to taste
* 2 scallions

Instructions:

1. Preheat the oven to 400°F (200°C).
2. Tear off four large pieces of heavy-duty aluminum foil, about 12 inches long.
3. Rinse and pat dry the sea bass fillets. Season both sides with salt and pepper.
4. Divide the sea bass fillets among the four pieces of foil.
5. Chop the parsley and scallions, and peel and finely chop the garlic.
6. Slice the cherry tomatoes in half.
7. Deseed and chop the pepper into thin slices.
8. Cut the lemon into thin slices.
9. Assemble the foil pouches:
a. Place a sea bass fillet in the center of each piece of foil.
b. Top each fillet with 2 anchovy fillets, 1 tbsp of capers, 1/4 of the sliced cherry tomatoes, 1/4 of the sliced pepper, 1/4 of the sliced lemon, and 1/4 of the olives.
c. Sprinkle each fillet with 1/4 of the chopped parsley, scallions, and chopped garlic.
d. Season each pouch with salt and freshly ground black pepper.
10. Seal the pouches by folding the edges together tightly, leaving a little space for steam to accumulate.
11. Place the pouches on a baking sheet.
12. Bake for 12-15 minutes, or until the fish flakes easily with a fork.
13. Carefully open the pouches (watch for steam) and transfer the contents to plates or bowls.
14. Serve with the crusty bread for soaking up the delicious juices.
15. Enjoy your Sea Bass Puttanesca in a Foil Pouch!

Note: You can adjust the quantities of the ingredients to your taste. This recipe is easily customizable and can be made even more flavorful by adding red pepper flakes, Italian seasoning, or a splash of white wine. Bon appétit!",Non-Veg,264.5,20.0,11.0,False,True,http://www.rachaelray.com/recipe.php?recipe_id=1523,"['flat', 'anchovies', 'flat', 'anchovies', 'crustry', 'bread', 'capers', 'cherry', 'tomatoes', 'pepper', 'flat', 'leaf', 'parsley', 'garlic', 'lemon', 'handfull', 'and', 'olives', 'salt', 'and', 'pepper', 'scallions']",4
